Platform,Service_Title,Details,Price,Link,Image_Path
MahirCompany,Bikini Wax And Under Arm With Sugar Wax,- Discounted Price,Rs:2400,https://mahircompany.com/bikini-wax-and-under-arm-with-sugar-wax,image3/mahir_188.jpg
MahirCompany,Full Legs Waxing With Fruit Wax,- Discounted Price,Rs:2800,https://mahircompany.com/full-legs-waxing-with-fruit-wax,image3/mahir_189.jpg
MahirCompany,Full Legs - Full Arms - Under Legs And Underarms With Sugar Wax,- Discounted Price,Rs:4000,https://mahircompany.com/full-legs-full-arms-under-legs-and-underarms-with-sugar-wax,image3/mahir_190.jpg
MahirCompany,Full Legs - Full Arms - Under Legs And Underarms With Fruit Wax,- Discounted Price,Rs:5600,https://mahircompany.com/full-legs-full-arms-under-legs-and-underarms-with-fruit-wax,image3/mahir_191.jpg
MahirCompany,Half Legs- Full Arms- Underarms with Fruit Wax,- Discounted Price,Rs:3700,https://mahircompany.com/half-legs-full-arms-underarms-with-fruit-wax,image3/mahir_192.jpg
MahirCompany,Underarms-Full Arms- with Fruit Wax,- Discounted Price,Rs:2600,https://mahircompany.com/underarmsfull-arms-with-fruit-wax,image3/mahir_193.jpg
MahirCompany,Full Body Massage - For Half Hour,- Discounted Price,Rs:2500,https://mahircompany.com/full-body-massage-for-half-hour,image3/mahir_194.jpg
MahirCompany,Full Body Massage - For 1 Hour,- Discounted Price,Rs:4000,https://mahircompany.com/full-body-massage-for-1-hour,image3/mahir_195.jpg
MahirCompany,Mani Pedi,- Discounted Price,Rs:3900,https://mahircompany.com/mani-pedi,image3/mahir_196.jpg
MahirCompany,Mani Pedi With Paraffin Wax - Signature,- Discounted Price,Rs:4500,https://mahircompany.com/mani-pedi-with-paraffin-wax-signature,image3/mahir_197.jpg
MahirCompany,Manicure,- Discounted Price,Rs:2400,https://mahircompany.com/manicure,image3/mahir_198.jpg
MahirCompany,Pedicure,- Discounted Price,Rs:2400,https://mahircompany.com/pedicure,image3/mahir_199.jpg
MahirCompany,Mani Pedi With Nail Paint,- Discounted Price,Rs:4080,https://mahircompany.com/mani-pedi-with-nail-paint,image3/mahir_200.jpg
MahirCompany,Gold Facial,- Discounted Price,Rs:4300,https://mahircompany.com/gold-facial,image3/mahir_201.jpg
MahirCompany,Derma Whitening Facial,- Discounted Price,Rs:4800,https://mahircompany.com/derma-whitening-facial,image3/mahir_202.jpg
MahirCompany,Janssen Facial Without Polisher,- Discounted Price,Rs:5600,https://mahircompany.com/janssen-facial-without-polisher,image3/mahir_203.jpg
MahirCompany,Hydra Facial,- Discounted Price,Rs:8000,https://mahircompany.com/hydra-facial,image3/mahir_204.jpg
MahirCompany,Skin Polisher,- Discounted Price,Rs:2400,https://mahircompany.com/skin-polisher,image3/mahir_205.jpg
MahirCompany,Face Cleanser,- Discounted Price,Rs:2800,https://mahircompany.com/face-cleanser,image3/mahir_206.jpg
MahirCompany,Face Polisher With Cleanser,- Discounted Price,Rs:3800,https://mahircompany.com/face-polisher-with-cleanser,image3/mahir_207.jpg
MahirCompany,Janssen Facial With Polisher,- Discounted Price,Rs:6800,https://mahircompany.com/janssen-facial-with-polisher,image3/mahir_208.jpg
MahirCompany,Full Body Polisher Except Face,- Discounted Price,Rs:5200,https://mahircompany.com/full-body-polisher-except-face,image3/mahir_209.jpg
MahirCompany,Full Body Polisher With Face,- Discounted Price,Rs:5900,https://mahircompany.com/full-body-polisher-with-face,image3/mahir_210.jpg
MahirCompany,Bridal Special Mehndi,- Fixed Price,Rs:4999,https://mahircompany.com/bridal-special-mehndi,image3/mahir_211.jpg
MahirCompany,Mehndi On Hand Two Sides,- Fixed Price,Rs:2000,https://mahircompany.com/mehndi-on-hand-two-sides,image3/mahir_212.jpg
MahirCompany,Mehndi On Full Arm One Side,- Fixed Price,Rs:1900,https://mahircompany.com/mehndi-on-full-arm-one-side,image3/mahir_213.jpg
MahirCompany,Mehndi On Full Arms Two Sides,- Fixed Price,Rs:2600,https://mahircompany.com/mehndi-on-full-arms-two-sides,image3/mahir_214.jpg
MahirCompany,Hair Cut with Blow Dry,- Fixed Charges,Rs:2300,https://mahircompany.com/hair-cut-with-blow-dry-hair-styling-and-hair-cut,image3/mahir_215.jpg
MahirCompany,Hair Styling,- Fixed Charges,Rs:2000,https://mahircompany.com/hair-styling-hair-styling-and-hair-cut,image3/mahir_216.jpg
MahirCompany,Child Hair Cut with Hairstyling,- Fixed Charges - Under 10 years,Rs:2000,https://mahircompany.com/child-hair-cut-with-hairstyling-hair-styling-and-hair-cut,image3/mahir_217.jpg
MahirCompany,Wash-Blowdry-Nail Polish and Threading,- Fixed Charges,Rs:2800,https://mahircompany.com/washblowdrynail-polish-and-threading-hair-styling-and-hair-cut,image3/mahir_218.jpg
MahirCompany,Child Hair Cut,- Under 10 years,Rs:1800,https://mahircompany.com/child-hair-cut-hair-styling-and-hair-cut,image3/mahir_219.jpg
MahirCompany,Pookie Beauty Care Package,"Bikini/Underarms Sugar Wax
Full Arms/Half Legs Sugar Wax
Threading(Upper lips/Eyebrows)",Rs:3500,https://mahircompany.com/pookie-beauty-care-package-monthly-beauty-deals,image3/mahir_220.jpg
MahirCompany,Deal 3,"Full Body Rica Wax
Skin Polisher (Face/Hands)
Threading(Upper lips/Eyebrows)",Rs:5800,https://mahircompany.com/deal-3-monthly-beauty-deals,image3/mahir_221.jpg
MahirCompany,Deal 4,"Full Body Sugar Wax
Skin Polisher (Face Only)
Threading(Upper lips/Eyebrows)",Rs:4350,https://mahircompany.com/deal-4-monthly-beauty-deals,image3/mahir_222.jpg
MahirCompany,Student Deal,"Face Polisher OR Manicure
Half Legs & Half Arms With Sugar Wax
Eyebrows & Upper Lips",Rs:3000,https://mahircompany.com/student-deal-monthly-beauty-deals,image3/mahir_223.jpg
MahirCompany,House Wife Deal 1,"Full body Sugar wax/Fruit Wax
Full body massage for half hour
Threading
- Discounted Price
Rs:5150 Rs:4250
4.9
Add
+",Rs:5150,https://mahircompany.com/house-wife-deal-1-monthly-beauty-deals,image3/mahir_224.jpg
MahirCompany,House Wife Deal 3,"Full Legs Full Arms Under Legs And Underarms With Sugar Wax
Full body massage for half hour
Threading
- Discounted Price
Rs:4250 Rs:3400
4.9
Add
+",Rs:4250,https://mahircompany.com/house-wife-deal-3-monthly-beauty-deals,image3/mahir_225.jpg
MahirCompany,Working Women Deal 1,"Full body Sugar/Fruit Wax
Full body massage for half hour
Threading
Mani Pedi
- Discounted Price
Rs:7550 Rs:6250
4.9
Add
+",Rs:7550,https://mahircompany.com/working-women-deal-1-monthly-beauty-deals,image3/mahir_226.jpg
MahirCompany,Pakistani Women Deal,- Full body sugar wax Face polisher Threading,Rs:3000,https://mahircompany.com/pakistani-women-deal-first-monthly-beauty-deals,image3/mahir_227.jpg
MahirCompany,Pakistani Women Deal,- Full body fruit wax Face polisher Threading,Rs:4000,https://mahircompany.com/pakistani-women-deal-second-monthly-beauty-deals,image3/mahir_228.jpg
MahirCompany,Silver Beauty Care Package,"Skin Polish
15 mins Shoulder Massage
ManiPedi
Threading (upper lips & eyebrows)",Rs:4850,https://mahircompany.com/silver-beauty-care-package-salon-packages,image3/mahir_229.jpg
MahirCompany,Gold Beauty Care Package 1,"Full Body Sugar Wax
Gold/Derma Facial
ManiPedi
15 mins Shoulder Massage
Threading (upper lips & eyebrows)",Rs:8550,https://mahircompany.com/gold-beauty-care-package-1-salon-packages,image3/mahir_230.jpg
MahirCompany,Gold Beauty Care Package 2,"Full Body Fruit Wax
Gold/Derma Facial
ManiPedi
15 mins Shoulder Massage
Threading (upper lips & eyebrows)",Rs:9550,https://mahircompany.com/gold-beauty-care-package-2-salon-packages,image3/mahir_231.jpg
MahirCompany,Friend's Shadi Glow Package,"Full Body waxing sugar/Fruit
Facial Gold/Derma
Mani Pedi
Hair Protein treatment
Threading
- Discounted Price
Rs:11850 Rs:9900
4.8
Add
+",Rs:11850,https://mahircompany.com/friends-shadi-glow-package-salon-packages,image3/mahir_232.jpg
MahirCompany,Sister's Wedding Glow Pacakge,"Full Body waxing sugar/Fruit
Facial Gold/Derma
Mani Pedi
Hair Protein treatment
Threading
- Discounted Price
Rs:11850 Rs:9900
4.8
Add
+",Rs:11850,https://mahircompany.com/sisters-wedding-glow-pacakge-salon-packages,image3/mahir_233.jpg
MahirCompany,Pre-Wedding Glow Package,"Full body waxing sugar/fruit
Facial Gold/Derma whitening
15 minutes head & shoulder massage
Mani Pedi
Hair Protein treatment
Threading
- Discounted Price
Rs:10700 Rs:8900
4.9
Add
+",Rs:10700,https://mahircompany.com/prewedding-glow-package-salon-packages,image3/mahir_234.jpg
MahirCompany,Complete Bridal Glow Package,"Wedding Day Package
Full body waxing sugar/fruit
Facial Gold/Derma
Mani Pedi
Mehandi
Barat Makeup
- Discounted Price
Rs:30800 Rs:27500
4.9
Add
+",Rs:30800,https://mahircompany.com/complete-bridal-glow-package-salon-packages,image3/mahir_235.jpg
MahirCompany,Buy 1 Get 1 Free,- Limited Time Offer - Discounted Price,Rs:10000,,image3/mahir_236.jpg
MahirCompany,Generation Deal,- Discounted Price,Rs:4000,,image3/mahir_237.jpg
MahirCompany,Limelight Deal,- Discounted Price,Rs:10000,,image3/mahir_238.jpg
MahirCompany,Sapphire Deal,- Discounted Price,Rs:4000,,image3/mahir_239.jpg
MahirCompany,Nishat Deal,- Discounted Price,Rs:5000,,image3/mahir_240.jpg
