Platform,Service_Title,Details,Price,Link,Image_Path
MahirCompany,Fan Dimmer Switch Installation,- Vary After Inspection,Rs:800,https://mahircompany.com/fan-dimmer-switch-installation,image3/mahir_45.jpg
MahirCompany,UPS Repairing,- Visit and Inspection charges,Rs:900,https://mahircompany.com/ups-repairing,image3/mahir_46.jpg
MahirCompany,UPS installation (Without Wiring),- Vary After Inspection,Rs:1800,https://mahircompany.com/ups-installation-without-wiring,image3/mahir_47.jpg
MahirCompany,Exhaust Fan Installation,- Per Fan (Fit in existing hole),Rs:900,https://mahircompany.com/exhaust-fan-installation,image3/mahir_48.jpg
MahirCompany,New House Wiring,- Visit and Inspection charges,Rs:800,https://mahircompany.com/new-house-wiring,image3/mahir_49.jpg
MahirCompany,Water Pump Repairing,- Visit and Inspection Charges,Rs:800,https://mahircompany.com/water-pump-repairing,image3/mahir_50.jpg
MahirCompany,Electrical Wiring,- Visit and Inspection charges,Rs:800,https://mahircompany.com/electrical-wiring,image3/mahir_51.jpg
MahirCompany,House Electric Work,- Visit and Inspection Charges,Rs:900,https://mahircompany.com/house-electric-work,image3/mahir_52.jpg
MahirCompany,Door Pillar Lights,- Vary After inspection,Rs:800,https://mahircompany.com/door-pillar-lights,image3/mahir_53.jpg
MahirCompany,Fancy Light Installation (Without Wiring),- Per Light (Discount on more then 2),Rs:900,https://mahircompany.com/fancy-light-installation-without-wiring,image3/mahir_54.jpg
MahirCompany,UPS Wiring,- Visit and Inspection charges,Rs:800,https://mahircompany.com/ups-wiring,image3/mahir_55.jpg
MahirCompany,LED TV Dismounting,- Per LED/LCD,Rs:900,https://mahircompany.com/led-tv-dismounting,image3/mahir_56.jpg
MahirCompany,Kitchen Hood Repairing,- Visit and Inspection charges,Rs:900,https://mahircompany.com/kitchen-hood-repairing,image3/mahir_57.jpg
MahirCompany,Automatic Washing Machine Repairing,- Visit and Inspection Charges,Rs:1000,https://mahircompany.com/automatic-washing-machine-repairing,image3/mahir_58.jpg
MahirCompany,Kitchen Hood Installation,- Visit and Inspection charges,Rs:900,https://mahircompany.com/kitchen-hood-installation,image3/mahir_59.jpg
MahirCompany,Fancy Light Installation (With Wiring),- Per Light (Discount on more then 2),Rs:1200,https://mahircompany.com/fancy-light-installation-with-wiring,image3/mahir_60.jpg
MahirCompany,SMD Lights Installation (With Wiring),- Per Light (Discount on more then 2),Rs:900,https://mahircompany.com/smd-lights-installation-with-wiring,image3/mahir_61.jpg
MahirCompany,Switchboard Socket Replacement,- Per Socket,Rs:800,https://mahircompany.com/switchboard-socket-replacement,image3/mahir_62.jpg
